Parameter Value[Column model]	Parameter Value[Column model] - Upper Case	IGNORE	COLUMN_DESCRIPTION	Min Peak Width	Max Peak Width	Center
Hypersil GOLD C18 (3 µm, 2.1 mm x 100 mm; Thermo Scientific)	HYPERSIL GOLD C18 (3 µM, 2.1 MM X 100 MM; THERMO SCIENTIFIC)	0	100 mm length, UPLC	5	20	2
Hypersil GOLD Phenyl (3 µm, 2.1 mm x 15 mm; Thermo Scientific)	HYPERSIL GOLD PHENYL (3 µM, 2.1 MM X 15 MM; THERMO SCIENTIFIC)	0	50 mm length, UPLC	5	20	1
iHILIC-Fusion HILIC (5 µm, 2.1 mm x 50 mm; Hilicon)	IHILIC-FUSION HILIC (5 µM, 2.1 MM X 50 MM; HILICON)	0	150 mm length, HPLC	8	80	3
iHILIC-Fusion HILIC(P) (5 µm, 2.1 mm x 150 mm; Hilicon)	IHILIC-FUSION HILIC(P) (5 µM, 2.1 MM X 150 MM; HILICON)	0	150 mm length, HPLC	8	80	3
iHILIC-Fusion HILIC(P) (5 µm, 2.1 mm x 50 mm; Hilicon)	IHILIC-FUSION HILIC(P) (5 µM, 2.1 MM X 50 MM; HILICON)	0	150 mm length, HPLC	8	80	3
Inertsil ODS-3 (3 µm, 4.6 mm x 150 mm; GL Sciences)	INERTSIL ODS-3 (3 µM, 4.6 MM X 150 MM; GL SCIENCES)	0	150 mm length, UPLC	5	20	2
InertSustain C18 (3 µm, 2.1 mm x 150 mm; GL Sciences)	INERTSUSTAIN C18 (3 µM, 2.1 MM X 150 MM; GL SCIENCES)	0	150 mm length, UPLC	5	20	2
InfinityLab Poroshell 120 HILIC-Z (2.1 µm, 2.1 mm x 150 mm; Agilent Technologies)	INFINITYLAB POROSHELL 120 HILIC-Z (2.1 µM, 2.1 MM X 150 MM; AGILENT TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
InfinityLab Poroshell 120 HILIC-Z (2.7 µm, 2.1 mm x 100 mm; Agilent Technologies)	INFINITYLAB POROSHELL 120 HILIC-Z (2.7 µM, 2.1 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
InfinityLab Poroshell 120 Phenyl-Hexyl (1.9 µm, 3 mm x 150 mm; Agilent Technologies)	INFINITYLAB POROSHELL 120 PHENYL-HEXYL (1.9 µM, 3 MM X 150 MM; AGILENT TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
Intensity Solo 2 C18 (1.7 µm, 2.1 mm x 100 mm; Bruker)	INTENSITY SOLO 2 C18 (1.7 µM, 2.1 MM X 100 MM; BRUKER)	0	100 mm length, UPLC	5	20	2
Jupiter C18 300 ≈ (5 µm, 2 mm x 250 mm; Phenomenex)	JUPITER C18 300 ≈ (5 µM, 2 MM X 250 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Kinetex C18 100 ≈ (1.7 µm, 2.1 mm x 100 mm; Phenomenex)	KINETEX C18 100 ≈ (1.7 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Kinetex C18 100 ≈ (1.7 µm, 2.1 mm x 150 mm; Phenomenex)	KINETEX C18 100 ≈ (1.7 µM, 2.1 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Kinetex C18 100 ≈ (1.7 µm, 2.1 mm x 50 mm; Phenomenex)	KINETEX C18 100 ≈ (1.7 µM, 2.1 MM X 50 MM; PHENOMENEX)	0	50 mm length, UPLC	5	20	1
Kinetex C18 100 ≈ (2.6 µm, 2.1 mm x 100 mm; Phenomenex)	KINETEX C18 100 ≈ (2.6 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Kinetex C18 100 ≈ (2.6 µm, 2.1 mm x 150 mm; Phenomenex)	KINETEX C18 100 ≈ (2.6 µM, 2.1 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Kinetex C18 100 ≈ (2.6 µm, 3 mm x 150 mm; Phenomenex)	KINETEX C18 100 ≈ (2.6 µM, 3 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Kinetex C18 100 ≈ (3.5 µm, 2.1 mm x 150 mm; Phenomenex)	KINETEX C18 100 ≈ (3.5 µM, 2.1 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Kinetex C18 100 ≈ (5 µm, 2.1 mm x 150 mm; Phenomenex)	KINETEX C18 100 ≈ (5 µM, 2.1 MM X 150 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Kinetex C8 100 ≈ (1.7 µm, 2.1 mm x 100 mm; Phenomenex)	KINETEX C8 100 ≈ (1.7 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Kinetex EVO C18 (2.6 µm, 2.1 mm x 50 mm; Phenomenex)	KINETEX EVO C18 (2.6 µM, 2.1 MM X 50 MM; PHENOMENEX)	0	50 mm length, UPLC	5	20	1
Kinetex EVO C18 100 ≈ (1.7 µm, 2.1 mm x 100 mm; Phenomenex)	KINETEX EVO C18 100 ≈ (1.7 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Kinetex F5 100 ≈ (1.7 µm, 2.1 mm x 100 mm; Phenomenex)	KINETEX F5 100 ≈ (1.7 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Kinetex F5 100 ≈ (2.6 µm, 2.1 mm x 100 mm; Phenomenex)	KINETEX F5 100 ≈ (2.6 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Kinetex HILIC 100 ≈ (2.6 µm, 2.1 mm x 150 mm; Phenomenex)	KINETEX HILIC 100 ≈ (2.6 µM, 2.1 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Kinetex HILIC 100 ≈ (2.6 µm, 2.1 mm x 50 mm; Phenomenex)	KINETEX HILIC 100 ≈ (2.6 µM, 2.1 MM X 50 MM; PHENOMENEX)	0	50 mm length, UPLC	5	20	1
Kinetex HILIC 100 ≈ (2.6 µm, 3 mm x 150 mm; Phenomenex)	KINETEX HILIC 100 ≈ (2.6 µM, 3 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Kinetex HILIC 100 ≈ (2.6 µm, 4.6 mm x 150 mm; Phenomenex)	KINETEX HILIC 100 ≈ (2.6 µM, 4.6 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Kinetex PS C18 100 ≈ (2.6 µm, 2.1 mm x 100 mm; Phenomenex)	KINETEX PS C18 100 ≈ (2.6 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Kinetex XB-C18 100 ≈ (1.7 µm, 2.1 mm x 150 mm; Phenomenex)	KINETEX XB-C18 100 ≈ (1.7 µM, 2.1 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Kinetex XB-C18 100 ≈ (1.7 µm, 2.1 mm x 50 mm; Phenomenex)	KINETEX XB-C18 100 ≈ (1.7 µM, 2.1 MM X 50 MM; PHENOMENEX)	0	50 mm length, UPLC	5	20	1
Kinetex XB-C18 100 ≈ (2.6 µm, 2.1 mm x 100 mm; Phenomenex)	KINETEX XB-C18 100 ≈ (2.6 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Large Capacity Chip (II) 300 ≈ C18 (150 mm, 160 nl trap; Agilent Technologies)	LARGE CAPACITY CHIP (II) 300 ≈ C18 (150 MM, 160 NL TRAP; AGILENT TECHNOLOGIES)	1	#VALUE!
LiChrospher RP-18 (3 µm, 2.1 mm x 150 mm; Agilent Technologies)	LICHROSPHER RP-18 (3 µM, 2.1 MM X 150 MM; AGILENT TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
Luna (2 µm, 2 mm x 150 mm; Phenomenex)	LUNA (2 µM, 2 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Luna C5 100 ≈ (5 µm, 4.6 mm x 50 mm; Phenomenex)	LUNA C5 100 ≈ (5 µM, 4.6 MM X 50 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Luna NH2 100 ≈ (3 µm, 1 mm x 150 mm; Phenomenex)	LUNA NH2 100 ≈ (3 µM, 1 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Luna NH2 100 ≈ (3 µm, 2 mm x 100 mm; Phenomenex)	LUNA NH2 100 ≈ (3 µM, 2 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Luna NH2 100 ≈ (3 µm, 2 mm x 150 mm; Phenomenex)	LUNA NH2 100 ≈ (3 µM, 2 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Luna NH2 100 ≈ (3 µm, 2 mm x 50 mm; Phenomenex)	LUNA NH2 100 ≈ (3 µM, 2 MM X 50 MM; PHENOMENEX)	0	50 mm length, UPLC	5	20	1
Luna NH2 100 ≈ (5 µm, 4.6 mm x 50 mm; Phenomenex)	LUNA NH2 100 ≈ (5 µM, 4.6 MM X 50 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Luna Omega Polar C18 100≈ (1.6 µm, 2.1 mm x 100 mm; Phenomenex)	LUNA OMEGA POLAR C18 100≈ (1.6 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Luna Omega PS C18 100≈ (3 µm, 2.1 mm x 150 mm; Phenomenex)	LUNA OMEGA PS C18 100≈ (3 µM, 2.1 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Mightysil RP-18GP (5 µm, 2 mm x 50 mm; Kanto Chemical)	MIGHTYSIL RP-18GP (5 µM, 2 MM X 50 MM; KANTO CHEMICAL)	0	150 mm length, HPLC	8	80	3
MonoBis Capillary Column (0.1 mm x 2 m; Kyoto Monotech)	MONOBIS CAPILLARY COLUMN (0.1 MM X 2 M; KYOTO MONOTECH)	1	#VALUE!
mRP-C18 High-Recovery Protein Column (5 µm, 2.1 mm x 100 mm; Agilent)	MRP-C18 HIGH-RECOVERY PROTEIN COLUMN (5 µM, 2.1 MM X 100 MM; AGILENT)	0	150 mm length, HPLC	8	80	3
NUCLEODUR C18 Gravity (1.8 µm, 2.1 mm x 50 mm; Macherey-Nagel)	NUCLEODUR C18 GRAVITY (1.8 µM, 2.1 MM X 50 MM; MACHEREY-NAGEL)	0	50 mm length, UPLC	5	20	1
NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)	NUCLEODUR C18 ISIS (1.8 µM, 2 MM X 100 MM; HICHROM)	0	100 mm length, UPLC	5	20	2
NUCLEODUR HILIC (1.8 µm, 2 mm x 150 mm; Macherey-Nagel)	NUCLEODUR HILIC (1.8 µM, 2 MM X 150 MM; MACHEREY-NAGEL)	0	150 mm length, UPLC	5	20	2
NUCLEODUR HILIC (3 µm, 3 mm x 125 mm; Macherey-Nagel)	NUCLEODUR HILIC (3 µM, 3 MM X 125 MM; MACHEREY-NAGEL)	0	100 mm length, UPLC	5	20	2
NUCLEODUR Phenyl-hexyl (1.8 µm, 4.6 mm x 100 mm; Macherey-Nagel)	NUCLEODUR PHENYL-HEXYL (1.8 µM, 4.6 MM X 100 MM; MACHEREY-NAGEL)	0	100 mm length, UPLC	5	20	2
NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)	NUCLEOSHELL RP 18 (2.7 µM, 2 MM X 150 MM; MACHEREY-NAGEL)	0	150 mm length, UPLC	5	20	2
ODP2 HP-4B (5 µm, 4.6 mm x 50 mm; Shodex)	ODP2 HP-4B (5 µM, 4.6 MM X 50 MM; SHODEX)	0	150 mm length, HPLC	8	80	3
Polaris C18 (1.8 µm, 2.1 mm x 250 mm; Agilent Technologies)	POLARIS C18 (1.8 µM, 2.1 MM X 250 MM; AGILENT TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
Poroshell 120 EC-C18 (2.7 µm, 2.1 mm x 75 mm; Agilent Technologies)	POROSHELL 120 EC-C18 (2.7 µM, 2.1 MM X 75 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
Poroshell 120 EC-C18 (2.7 µm, 3 mm x 100 mm; Agilent Technologies)	POROSHELL 120 EC-C18 (2.7 µM, 3 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
Poroshell 120 EC-C18 (2.7 µm, 3 mm x 50 mm; Agilent Technologies)	POROSHELL 120 EC-C18 (2.7 µM, 3 MM X 50 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
Poroshell 120 EC-C8 (2.7 µm, 2.1 mm x 100 mm; Agilent Technologies)	POROSHELL 120 EC-C8 (2.7 µM, 2.1 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
Poroshell 120 EC-C8 (2.7 µm, 2.1 mm x 150 mm; Agilent Technologies)	POROSHELL 120 EC-C8 (2.7 µM, 2.1 MM X 150 MM; AGILENT TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
Poroshell 120 EC-C8 (2.7 µm, 2.1 mm x 50 mm; Agilent Technologies)	POROSHELL 120 EC-C8 (2.7 µM, 2.1 MM X 50 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
ProtoSIL C18 AQ 200 ≈ (3 µm, 0.3 mm x 150 mm; BISCHOFF)	PROTOSIL C18 AQ 200 ≈ (3 µM, 0.3 MM X 150 MM; BISCHOFF)	0	150 mm length, HPLC	8	80	3
PRP-X110S (7 µm, 2.1 mm x 100 mm; Hamilton)	PRP-X110S (7 µM, 2.1 MM X 100 MM; HAMILTON)	0	150 mm length, HPLC	8	80	3
ReproSil Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch Morvay Analytik)	REPROSIL GOLD 120 C18 (3 µM, 0.1 MM X 100 MM; DR. MAISCH MORVAY ANALYTIK)	0	150 mm length, HPLC	8	80	3
ReproSil-Pur Basic-C18 (2.4 µm, 0.5 mm x 150 mm; Dr. Maisch)	REPROSIL-PUR BASIC-C18 (2.4 µM, 0.5 MM X 150 MM; DR. MAISCH)	0	150 mm length, HPLC	8	80	3
SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)	SUNFIRE C18 (3.5 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
SunFire C18 (3.5 µm, 4.6 mm x 50 mm; Waters)	SUNFIRE C18 (3.5 µM, 4.6 MM X 50 MM; WATERS)	0	50 mm length, UPLC	5	20	1
SunShell C18 (2.6 µm, 2.1 mm x 150 mm; ChromaNik Technologies Inc)	SUNSHELL C18 (2.6 µM, 2.1 MM X 150 MM; CHROMANIK TECHNOLOGIES INC)	0	150 mm length, UPLC	5	20	2
Syncronis C18 (1.7 µm, 2.1 mm x 100 mm; Thermo Scientific)	SYNCRONIS C18 (1.7 µM, 2.1 MM X 100 MM; THERMO SCIENTIFIC)	0	100 mm length, UPLC	5	20	2
Synergi Fusion-RP 80 ≈ (4 µm, 2 mm x 150 mm; Phenomenex)	SYNERGI FUSION-RP 80 ≈ (4 µM, 2 MM X 150 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Synergi Hydro-RP 100 ≈ (2.5 µm, 2 mm x 100 mm; Phenomenex)	SYNERGI HYDRO-RP 100 ≈ (2.5 µM, 2 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Synergi Hydro-RP 80 ≈ (4 µm, 2 mm x 150 mm; Phenomenex)	SYNERGI HYDRO-RP 80 ≈ (4 µM, 2 MM X 150 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Synergi Hydro-RP 80 ≈ (4 µm, 2 mm x 250 mm; Phenomenex)	SYNERGI HYDRO-RP 80 ≈ (4 µM, 2 MM X 250 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Synergi Hydro-RP 80 ≈ (4 µm, 2 mm x 50 mm; Phenomenex)	SYNERGI HYDRO-RP 80 ≈ (4 µM, 2 MM X 50 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Synergi Polar-RP (2.5 µm, 2.1 mm x 100 mm; Phenomenex)	SYNERGI POLAR-RP (2.5 µM, 2.1 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Synergi Polar-RP (2.5 µm, 3 mm x 100 mm; Phenomenex)	SYNERGI POLAR-RP (2.5 µM, 3 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)	SYNERGI POLAR-RP (4 µM, 4.6 MM X 100 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)	TARGA C18 (5 µM, 2.1 MM X 100 MM; HIGGINS ANALYTICAL)	0	150 mm length, HPLC	8	80	3
TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)	TARGA C18 (5 µM, 2.1 MM X 50 MM; HIGGINS ANALYTICAL)	0	150 mm length, HPLC	8	80	3
TSKgel ODS-100V 100 ≈ (5 µm, 3 mm x 50 mm; Tosoh Bioscience)	TSKGEL ODS-100V 100 ≈ (5 µM, 3 MM X 50 MM; TOSOH BIOSCIENCE)	0	150 mm length, HPLC	8	80	3
VisionHT C18-HL (1.5 µm. 2 mm x 150 mm; Alltech Grom)	VISIONHT C18-HL (1.5 µM. 2 MM X 150 MM; ALLTECH GROM)	0	150 mm length, UPLC	5	20	2
XAqua C18 (5 µm, 2.1 x 150 mm; Acchrom)	XAQUA C18 (5 µM, 2.1 X 150 MM; ACCHROM)	0	150 mm length, HPLC	8	80	3
XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)	XBRIDGE BEH AMIDE (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
XBridge BEH Amide (3.5 µm, 2.1 mm x 100 mm; Waters)	XBRIDGE BEH AMIDE (3.5 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
XBridge BEH Amide (3.5 µm, 2.1 mm x 150 mm; Waters)	XBRIDGE BEH AMIDE (3.5 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
XBridge BEH Amide XP (2.5 µm, 2.1 mm x 100 mm; Waters)	XBRIDGE BEH AMIDE XP (2.5 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
XBridge BEH Amide XP (2.5 µm, 2.1 mm x 50 mm; Waters)	XBRIDGE BEH AMIDE XP (2.5 µM, 2.1 MM X 50 MM; WATERS)	0	50 mm length, UPLC	5	20	1
XBridge BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	XBRIDGE BEH C18 (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
XBridge BEH C18 (3.5 µm, 2.1 mm x 100 mm; Waters)	XBRIDGE BEH C18 (3.5 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
XBridge BEH C18 (3.5 µm, 2.1 mm x 150 mm; Waters)	XBRIDGE BEH C18 (3.5 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
XBridge BEH HILIC (5 µm, 4.6 mm x 150 mm; Waters)	XBRIDGE BEH HILIC (5 µM, 4.6 MM X 150 MM; WATERS)	0	150 mm length, HPLC	8	80	3
XBridge BEH HILIC 130≈ (3.5 µm, 4.6 mm x 100 mm; Waters)	XBRIDGE BEH HILIC 130≈ (3.5 µM, 4.6 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
XSelect CSH C18 (1.7 µm, 2.1 mm x 150 mm; Waters)	XSELECT CSH C18 (1.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
XSelect CSH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	XSELECT CSH C18 (2.5 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
XSelect CSH C18 (3.5 µm, 2.1 mm x 75 mm; Waters)	XSELECT CSH C18 (3.5 µM, 2.1 MM X 75 MM; WATERS)	0	50 mm length, UPLC	5	20	1
XSelect HSS T3 (2.5 µm, 3 mm x 150 mm; Waters)	XSELECT HSS T3 (2.5 µM, 3 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	ZIC-CHILIC (3 µM, 2.1 MM X 150 MM; MERCK SEQUANT)	0	150 mm length, UPLC	5	20	2
ZIC-cHILIC 100 ≈ (3 µm, 2.1 mm x 150 mm; Merck Sequant)	ZIC-CHILIC 100 ≈ (3 µM, 2.1 MM X 150 MM; MERCK SEQUANT)	0	150 mm length, UPLC	5	20	2
ZIC-HILIC (3.5 µm, 2.1 mm x 100 mm; Merck Sequant)	ZIC-HILIC (3.5 µM, 2.1 MM X 100 MM; MERCK SEQUANT)	0	100 mm length, UPLC	5	20	2
ZIC-HILIC (3.5 µm, 2.1 mm x 150 mm; Merck Sequant)	ZIC-HILIC (3.5 µM, 2.1 MM X 150 MM; MERCK SEQUANT)	0	150 mm length, UPLC	5	20	2
ZIC-HILIC (5 µm, 2.1 mm x 100 mm; Merck Sequant)	ZIC-HILIC (5 µM, 2.1 MM X 100 MM; MERCK SEQUANT)	0	150 mm length, HPLC	8	80	3
ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)	ZIC-HILIC (5 µM, 4.6 MM X 150 MM; MERCK SEQUANT)	0	150 mm length, HPLC	8	80	3
ZIC-HILIC 100 ≈ (3.5 µm, 2.1 mm x 150 mm; Merck Sequant)	ZIC-HILIC 100 ≈ (3.5 µM, 2.1 MM X 150 MM; MERCK SEQUANT)	0	150 mm length, UPLC	5	20	2
ZIC-pHILIC (3.5 µm, 2.1 mm x 150 mm; Merck Sequant)	ZIC-PHILIC (3.5 µM, 2.1 MM X 150 MM; MERCK SEQUANT)	0	150 mm length, UPLC	5	20	2
ZIC-pHILIC (5 µm, 2.1 mm x 100 mm; Merck Sequant)	ZIC-PHILIC (5 µM, 2.1 MM X 100 MM; MERCK SEQUANT)	0	150 mm length, HPLC	8	80	3
ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)	ZIC-PHILIC (5 µM, 2.1 MM X 150 MM; MERCK SEQUANT)	0	150 mm length, HPLC	8	80	3
ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Millipore)	ZIC-PHILIC (5 µM, 2.1 MM X 150 MM; MILLIPORE)	0	150 mm length, HPLC	8	80	3
ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Canadian LifeScience)	ZIC-PHILIC (5 µM, 4.6 MM X 150 MM; CANADIAN LIFESCIENCE)	0	150 mm length, HPLC	8	80	3
ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; HiChrom)	ZIC-PHILIC (5 µM, 4.6 MM X 150 MM; HICHROM)	0	150 mm length, HPLC	8	80	3
ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)	ZIC-PHILIC (5 µM, 4.6 MM X 150 MM; MERCK SEQUANT)	0	150 mm length, HPLC	8	80	3
ZORBAX C18 (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	ZORBAX C18 (1.8 µM, 2.1 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
ZORBAX C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)	ZORBAX C18 (1.8 µM, 2.1 MM X 50 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
ZORBAX C18 (5 µm, 0.5 mm x 150 mm; Agilent Technologies)	ZORBAX C18 (5 µM, 0.5 MM X 150 MM; AGILENT TECHNOLOGIES)	0	150 mm length, HPLC	8	80	3
ZORBAX Eclipse Plus C18 (1.8 µm, 2 mm x 100 mm; Agilent Technologies)	ZORBAX ECLIPSE PLUS C18 (1.8 µM, 2 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	ZORBAX ECLIPSE PLUS C18 (1.8 µM, 2.1 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)	ZORBAX ECLIPSE PLUS C18 (1.8 µM, 2.1 MM X 50 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
ZORBAX Eclipse Plus C18 (1.8 µm, 3 mm x 150 mm; Agilent Technologies)	ZORBAX ECLIPSE PLUS C18 (1.8 µM, 3 MM X 150 MM; AGILENT TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
ZORBAX Eclipse Plus C18 (3.5 µm, 2.1 mm x 100 mm; Agilent Technologies)	ZORBAX ECLIPSE PLUS C18 (3.5 µM, 2.1 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
ZORBAX Eclipse Plus C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)	ZORBAX ECLIPSE PLUS C18 (3.5 µM, 2.1 MM X 150 MM; AGILENT TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
ZORBAX Eclipse Plus C18 (3.5 µm, 4.6 mm x 100 mm; Agilent Technologies)	ZORBAX ECLIPSE PLUS C18 (3.5 µM, 4.6 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
ZORBAX Eclipse XDB C18 (1.8 µm, 4.6 mm x 100 mm; Agilent Technologies)	ZORBAX ECLIPSE XDB C18 (1.8 µM, 4.6 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
ZORBAX Eclipse XDB C18 (1.8 µm, 4.6 mm x 50 mm; Agilent Technologies)	ZORBAX ECLIPSE XDB C18 (1.8 µM, 4.6 MM X 50 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)	ZORBAX ECLIPSE XDB C18 (3.5 µM, 3 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
ZORBAX Eclipse XDB C18 (5 µm, 4.6 mm x 250 mm; Agilent Technologies)	ZORBAX ECLIPSE XDB C18 (5 µM, 4.6 MM X 250 MM; AGILENT TECHNOLOGIES)	0	150 mm length, HPLC	8	80	3
ZORBAX Extend-C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)	ZORBAX EXTEND-C18 (1.8 µM, 2.1 MM X 50 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
ZORBAX Extend-C18 (3.5 µm, 2.1 mm x 100 mm; Agilent Technologies)	ZORBAX EXTEND-C18 (3.5 µM, 2.1 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
ZORBAX Extend-C18 (3.5 µm, 2.1 mm x 50 mm; Agilent Technologies)	ZORBAX EXTEND-C18 (3.5 µM, 2.1 MM X 50 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
ZORBAX RR SB-Phenyl (3.5 µm, 3 mm x 50 mm; Agilent Technologies)	ZORBAX RR SB-PHENYL (3.5 µM, 3 MM X 50 MM; AGILENT TECHNOLOGIES)	0	50 mm length, UPLC	5	20	1
