Parameter Value[Column model]	Parameter Value[Column model] - Upper Case	IGNORE	COLUMN_DESCRIPTION	Min Peak Width	Max Peak Width	Center
ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC BEH AMIDE (1.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 50 mm; Waters)	ACQUITY UPLC BEH AMIDE (1.7 µM, 2.1 MM X 50 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 75 mm; Waters)	ACQUITY UPLC BEH AMIDE (1.7 µM, 2.1 MM X 75 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC BEH Amide (1.7 µm, 3 mm x 150 mm; Waters)	ACQUITY UPLC BEH AMIDE (1.7 µM, 3 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC BEH Amide (1.8 µm, 2.1 mm x 30 mm; Waters)	ACQUITY UPLC BEH AMIDE (1.8 µM, 2.1 MM X 30 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC BEH C18 (1.7 µm, 1 mm x 100 mm; Waters)	ACQUITY UPLC BEH C18 (1.7 µM, 1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH C18 (1.7 µm, 1 mm x 150 mm; Waters)	ACQUITY UPLC BEH C18 (1.7 µM, 1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC BEH C18 (1.7 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC BEH C18 (1.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 30 mm; Waters)	ACQUITY UPLC BEH C18 (1.7 µM, 2.1 MM X 30 MM; WATERS)	0	50 mm length, UPLC	5	20	1
